x (ft),y (ft),description,img_last4,neck,seat_track,seat_height
31.43658465,-3.219629265,,1270,50th_male,mid,mid
31.5669521,-3.237834646,,1270,50th_male,mid,mid
31.71973425,-3.293336614,,1270,50th_male,mid,mid
31.87365157,-3.349248688,,1270,50th_male,mid,mid
31.87365157,-3.349248688,,1270,50th_male,mid,mid
32.01789042,-3.386853675,,1270,50th_male,mid,mid
32.06112205,-3.461732283,,1270,50th_male,mid,mid
32.19574147,-3.481105643,,1270,50th_male,mid,mid
32.36404199,-3.557201444,,1270,50th_male,mid,mid
32.51173556,-3.596007218,,1270,50th_male,mid,mid
32.66053478,-3.635101706,,1270,50th_male,mid,mid
32.7994521,-3.655419948,,1270,50th_male,mid,mid
32.8104626,-3.67449147,,1270,50th_male,mid,mid
32.97257218,-3.733326772,,1270,50th_male,mid,mid
33.11372047,-3.754169948,,1270,50th_male,mid,mid
33.4328084,-3.854432415,,1270,50th_male,mid,mid
33.5885794,-3.895423228,,1270,50th_male,mid,mid
33.75681102,-3.956243438,,1270,50th_male,mid,mid
33.92634514,-4.017532808,,1270,50th_male,mid,mid
34.23520013,-4.082322835,,1270,50th_male,mid,mid
34.38571194,-4.105187008,,1270,50th_male,mid,mid
34.39715551,-4.125006562,,1270,50th_male,mid,mid
34.56040026,-4.168024934,,1270,50th_male,mid,mid
34.85600394,-4.19492126,,1270,50th_male,mid,mid
35.04626969,-4.279002625,,1270,50th_male,mid,mid
35.08114501,-4.339409449,,1270,50th_male,mid,mid
35.26138123,-4.404186352,,1270,50th_male,mid,mid
35.29640092,-4.464832677,,1270,50th_male,mid,mid
35.46650919,-4.510075459,,1270,50th_male,mid,mid
35.62622047,-4.535308399,,1270,50th_male,mid,mid
35.63798556,-4.555685696,,1270,50th_male,mid,mid
35.82266404,-4.622125984,,1270,50th_male,mid,mid
36.00885171,-4.689104331,,1270,50th_male,mid,mid
36.23227362,-4.818510499,,1270,50th_male,mid,mid
36.26800197,-4.88039042,,1270,50th_male,mid,mid
36.49339567,-5.011108924,,1270,50th_male,mid,mid
36.68464239,-5.08050853,,1270,50th_male,mid,mid
36.86539042,-5.129603018,,1270,50th_male,mid,mid
36.91361549,-5.213129921,,1270,50th_male,mid,mid
