phis,phis (radians),NVP (in),NVP(ft),x (in),y (in),x (ft),y (ft)
227,3.961897402,379,31.58333333,-258.4773785,-277.1830529,-21.53978154,-23.09858774
228,3.979350695,379,31.58333333,-253.6004997,-281.651889,-21.13337497,-23.47099075
229,3.996803987,379,31.58333333,-248.646372,-286.0349309,-20.720531,-23.83624424
230,4.01425728,379,31.58333333,-243.616504,-290.330844,-20.30137533,-24.194237
231,4.031710572,379,31.58333333,-238.5124282,-294.5383194,-19.87603569,-24.54485995
232,4.049163865,379,31.58333333,-233.335699,-298.6560757,-19.44464159,-24.88800631
233,4.066617157,379,31.58333333,-228.0878938,-302.6828583,-19.00732448,-25.22357152
234,4.08407045,379,31.58333333,-222.7706105,-306.6174409,-18.56421754,-25.55145341
235,4.101523742,379,31.58333333,-217.3854694,-310.4586247,-18.11545579,-25.87155206
236,4.118977035,379,31.58333333,-211.9341103,-314.2052401,-17.66117586,-26.18377001
237,4.136430327,379,31.58333333,-206.4181943,-317.8561452,-17.2015162,-26.4880121
238,4.15388362,379,31.58333333,-200.8394011,-321.4102285,-16.73661676,-26.78418571
239,4.171336912,379,31.58333333,-195.1994305,-324.8664069,-16.26661921,-27.07220058
240,4.188790205,379,31.58333333,-189.4999999,-328.2236281,-15.79166666,-27.35196901
241,4.206243497,379,31.58333333,-183.7428462,-331.4808689,-15.31190385,-27.62340575
242,4.22369679,379,31.58333333,-177.9297222,-334.6371377,-14.82747685,-27.88642814
243,4.241150082,379,31.58333333,-172.0623995,-337.6914726,-14.33853329,-28.14095605
244,4.258603375,379,31.58333333,-166.1426646,-340.6429436,-13.84522205,-28.38691196
245,4.276056667,379,31.58333333,-160.1723213,-343.4906512,-13.34769344,-28.62422094
246,4.29350996,379,31.58333333,-154.1531877,-346.2337285,-12.84609897,-28.85281071
247,4.310963252,379,31.58333333,-148.0870978,-348.8713394,-12.34059149,-29.07261162
248,4.328416545,379,31.58333333,-141.9758989,-351.4026809,-11.83132491,-29.28355674
249,4.345869837,379,31.58333333,-135.821453,-353.8269816,-11.31845442,-29.4855818
250,4.36332313,379,31.58333333,-129.6256343,-356.1435033,-10.80213619,-29.67862527
251,4.380776423,379,31.58333333,-123.3903304,-358.3515402,-10.28252753,-29.86262835
252,4.398229715,379,31.58333333,-117.1174409,-360.4504197,-9.75978674,-30.03753497
253,4.415683008,379,31.58333333,-110.8088759,-362.4395026,-9.234072994,-30.20329188
254,4.4331363,379,31.58333333,-104.4665579,-364.3181828,-8.70554649,-30.35984856
255,4.450589593,379,31.58333333,-98.09241794,-366.0858882,-8.174368162,-30.50715735
256,4.468042885,379,31.58333333,-91.68839847,-367.7420802,-7.640699873,-30.64517335
257,4.485496178,379,31.58333333,-85.25644946,-369.2862546,-7.104704122,-30.77385455
258,4.50294947,379,31.58333333,-78.79853087,-370.7179407,-6.566544239,-30.89316172
259,4.520402763,379,31.58333333,-72.31660912,-372.0367026,-6.026384094,-31.00305855
260,4.537856055,379,31.58333333,-65.8126594,-373.2421384,-5.484388284,-31.10351153
261,4.555309348,379,31.58333333,-59.28866214,-374.3338811,-4.940721845,-31.19449009
262,4.57276264,379,31.58333333,-52.74660535,-375.311598,-4.395550446,-31.2759665
263,4.590215933,379,31.58333333,-46.18848105,-376.1749915,-3.849040088,-31.34791596
264,4.607669225,379,31.58333333,-39.61628768,-376.9237983,-3.301357307,-31.41031653
265,4.625122518,379,31.58333333,-33.03202642,-377.5577906,-2.752668868,-31.46314922
266,4.64257581,379,31.58333333,-26.43770366,-378.076775,-2.203141972,-31.50639792
267,4.660029103,379,31.58333333,-19.83532735,-378.4805937,-1.652943946,-31.54004947
268,4.677482395,379,31.58333333,-13.22690938,-378.7691234,-1.102242448,-31.56409362
269,4.694935688,379,31.58333333,-6.614461988,-378.9422765,-0.551205166,-31.57852304
270,4.71238898,379,31.58333333,-1.45797E-07,-379,-1.21498E-08,-31.58333333
271,4.729842273,379,31.58333333,6.614462076,-378.9422765,0.551205173,-31.57852304
272,4.747295565,379,31.58333333,13.22690909,-378.7691234,1.102242424,-31.56409362
273,4.764748858,379,31.58333333,19.83532744,-378.4805937,1.652943953,-31.54004947
274,4.78220215,379,31.58333333,26.43770337,-378.0767751,2.203141948,-31.50639792
275,4.799655443,379,31.58333333,33.03202651,-377.5577906,2.752668876,-31.46314921
276,4.817108736,379,31.58333333,39.61628777,-376.9237983,3.301357314,-31.41031653
277,4.834562028,379,31.58333333,46.18848114,-376.1749915,3.849040095,-31.34791596
278,4.852015321,379,31.58333333,52.74660543,-375.311598,4.395550453,-31.2759665
279,4.869468613,379,31.58333333,59.28866223,-374.3338811,4.940721852,-31.19449009
280,4.886921906,379,31.58333333,65.81265949,-373.2421384,5.484388291,-31.10351153
281,4.904375198,379,31.58333333,72.31660921,-372.0367025,6.026384101,-31.00305854
282,4.921828491,379,31.58333333,78.79853096,-370.7179406,6.566544247,-30.89316172
283,4.939281783,379,31.58333333,85.25644954,-369.2862546,7.104704129,-30.77385455
284,4.956735076,379,31.58333333,91.68839856,-367.7420802,7.64069988,-30.64517335
285,4.974188368,379,31.58333333,98.09241803,-366.0858882,8.174368169,-30.50715735
