phis,phis (radians),NVP (in),NVP(ft),x (in),y (in),x (ft),y (ft)
336,5.864306287,438,36.5,400.1329104,-178.1506497,33.3444092,-14.84588748
337,5.881759579,438,36.5,403.1811258,-171.1402343,33.59842715,-14.26168619
338,5.899212872,438,36.5,406.1065283,-164.0776879,33.84221069,-13.67314066
339,5.916666164,438,36.5,408.9082268,-156.9651619,34.07568557,-13.08043016
340,5.934119457,438,36.5,411.5853679,-149.8048228,34.29878066,-12.48373523
341,5.951572749,438,36.5,414.1371361,-142.5988517,34.51142801,-11.88323764
342,5.969026042,438,36.5,416.5627541,-135.3494435,34.71356284,-11.27912029
343,5.986479334,438,36.5,418.8614831,-128.0588067,34.90512359,-10.67156723
344,6.003932627,438,36.5,421.0326228,-120.7291618,35.0860519,-10.06076348
345,6.021385919,438,36.5,423.0755119,-113.3627418,35.25629266,-9.44689515
346,6.038839212,438,36.5,424.9895281,-105.9617903,35.41579401,-8.830149192
347,6.056292504,438,36.5,426.7740884,-98.5285618,35.56450737,-8.210713483
348,6.073745797,438,36.5,428.4286491,-91.06532058,35.70238743,-7.588776715
349,6.091199089,438,36.5,429.9527064,-83.57433997,35.8293922,-6.964528331
350,6.108652382,438,36.5,431.3457958,-76.05790182,35.94548298,-6.338158485
351,6.126105675,438,36.5,432.6074932,-68.51829569,36.05062443,-5.709857974
352,6.143558967,438,36.5,433.7374141,-60.95781822,36.14478451,-5.079818185
353,6.16101226,438,36.5,434.7352144,-53.37877241,36.22793453,-4.448231034
354,6.178465552,438,36.5,435.6005902,-45.78346691,36.30004918,-3.815288909
355,6.195918845,438,36.5,436.3332778,-38.17421532,36.36110648,-3.18118461
356,6.213372137,438,36.5,436.933054,-30.5533355,36.41108783,-2.546111292
