x (ft),y (ft)
-9.478248031,27.14841535
-9.450160761,27.14841535
-9.288940289,26.81031824
-9.261118766,26.81031824
-7.004849081,47.1631332
-7.048766404,47.1631332
-5.473284121,56.4113878
-5.473284121,56.4113878
56.47419619,107.1892651
56.47419619,107.1892651
56.82114829,107.1892651
56.82114829,107.1892651
57.0433399,102.2636745
57.0433399,102.2636745
58.66379921,105.4994324
58.66379921,105.4994324
6.244347113,48.94711942
6.244347113,48.94711942
6.394593176,49.31570866
6.471453412,49.27133202
6.702037402,49.13820538
6.702037402,49.13820538
6.934383202,49.46635827
7.173953412,50.27420604
7.449238845,50.11526903
7.52789042,50.0698622
7.52789042,50.0698622
7.732532808,50.43594488
7.860505249,50.85389436
8.071046588,51.23200131
8.151574803,51.18551181
8.569078084,51.45213583
8.747831365,51.86480971
8.911496063,51.77032152
8.952411417,51.74669948
9.322103018,52.59050853
9.322103018,52.59050853
9.363690945,52.56649606
9.571633858,52.44644029
9.763136483,52.87761155
10.04240486,53.26715879
10.24110236,53.71251312
10.4116601,53.61404199
10.86556102,54.50090551
11.08240814,54.37570538
11.20776575,54.89274934
11.38274278,54.79172572
11.4264895,54.76646982
11.55592848,55.29136483
12.04375984,55.61990814
12.17730315,55.54279856
12.57792651,55.31150262
12.90968504,56.37309711
13.46868766,56.6939042
13.71492126,57.20708005
14.15192913,57.62211614
14.19849081,57.59523294
14.29161417,57.54146654
14.52441929,57.40705052
14.66410433,57.32640748
15.33511483,58.31119423
15.98342192,59.36151575
16.51218832,59.78920932
16.90339239,60.31053806
16.90339239,60.31053806
17.29765092,60.0829101
17.29765092,60.0829101
17.65065617,60.64097769
17.79995407,60.55478346
18.31224409,61.0360269
19.00899606,62.23500984
19.26539042,62.08697507
19.31666995,62.05736549
21.03367782,69.15542979
21.41819554,70.95648622
22.30284121,74.78197178
22.5526706,75.78730315
22.8086122,76.81724738
24.48627953,83.56838911
25.42896654,87.3618668
27.56867782,95.97232612
28.78965879,100.8857087
34.12759186,121.0652001
36.24930446,128.6075984
36.24930446,128.6075984
36.9455643,131.3632316
36.9455643,131.3632316
41.57349409,146.5987402
43.68064961,153.7190945
47.87688648,165.3769521
49.85604331,169.4127067
51.94017717,173.6625164
53.72417979,178.3826903
55.89177822,183.2041142
57.89244751,188.4712631
58.03829068,188.3870604
60.51759514,186.9556332
60.66342848,186.8714304
61.53847441,186.3662336
61.68431759,186.2820308
62.55935696,185.7768209
62.9968832,185.5242224
60.61889436,174.4020276
57.96372375,164.7317192
58.48680118,164.4297343
56.06683727,155.7245013
53.99194554,147.765853
53.99194554,147.765853
52.79414698,144.1935663
40.64690945,107.029229
39.98248688,105.063622
39.98248688,105.063622
38.11834974,99.54883202
34.88572507,89.9855479
34.40185039,88.55407808
32.17939961,81.97925197
30.60739501,77.32869423
29.5306168,74.1431857
28.8561811,72.14796588
57.59285433,182.2219948
57.73460958,182.1401542
27.18650591,66.6032185
27.18650591,66.6032185
27.53548228,67.4246752
